Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty,
13...8..5..54...1..7.5..2.3.8....5..........1.4............23..6.47...8.72..1.6.4,26,44,11,0,0,0,0,0,0,Easy,
8..4....145..69...3.....5..9..18..3.....9.6.8.....61.....84.3.....6...8......7.54,26,33,22,0,0,0,0,0,0,Easy,
5...1.7....17..36.8..6.5..4.........1.8.97..64....8....46.....3......8.....3...1.,24,35,22,0,0,0,0,0,0,Easy,
..68.....93...2..65..6.738.....9627.........4......6.36.2.....74.7....9.......5..,25,39,17,0,0,0,0,0,0,Easy,
..2...6.4..7....9.93......2.453....7.........1.9.....56...4..3...1.732.9...21..5.,26,46,9,0,0,0,0,0,0,Easy,
2.8..6.911..3..6.....9........48.....3......2..........53.4......6..38.9..92...5.,23,41,17,0,0,0,0,0,0,Easy,
.....3......7148.........41........8.6...953...743...9....9.4....48..37..71.....6,25,25,31,0,0,0,0,0,0,Easy,
..5..8129........54.....8...9.25....86...9.......876.1...9....6.7..2.48........1.,25,50,6,0,0,0,0,0,0,Easy,
.31.5......4..82.........54.........4..1.....71.6.....26..8..73...27...85.8..4.6.,25,43,13,0,0,0,0,0,0,Easy,
6........145........2..58..5...6..94..1.9.6.2....1..5.....5.........8279.842.6...,26,41,14,0,0,0,0,0,0,Easy,
.........6.23......5164.......17...4.29..5.6.........51..7...32.3.5.......4..617.,25,47,9,0,0,0,0,0,0,Easy,
....1.........7.3....254....2.4.5....537...........8..4..8.3.57.31..6.42..7...38.,26,46,9,0,0,0,0,0,0,Easy,
..738..15..8..62.33..2.4....1.......2.....6...5....82...4.1...........5.....67.8.,24,42,15,0,0,0,0,0,0,Easy,
1......3..9..4...1....6........8.923.4.97..6....1..4..7.26...8.....3....43.79.2..,26,48,7,0,0,0,0,0,0,Easy,
42.78........5..9......41......495..8...6......4..2...5.6...71.......8.6.786...52,26,46,9,0,0,0,0,0,0,Easy,
.5.....392...8....7...6..2...9.7..6....4..5..635.9..87......9....68.7..5..2......,25,39,17,0,0,0,0,0,0,Easy,
53.91..6787.....4.....5......7...9..3.8.....1.9.....35.63......9......5....79.1.3,26,42,13,0,0,0,0,0,0,Easy,
..6....85.....5.....8..2.6.1.4.8..3........4.623.1......2...67....7...2...7..6318,26,42,13,0,0,0,0,0,0,Easy,
5.63.1.2.3..8..5...2..9..782...5..6...9...1...7.16.8.3...6....9...2.5............,26,49,6,0,0,0,0,0,0,Easy,
.9..8.6..2.45...3....72.8.....6...58.....42....6.7...93.....4..4.7........5.....6,24,39,18,0,0,0,0,0,0,Easy,
.2..5.......49.......7.1.....8..6..92..8....4....1..7..6217...519..4..6...7..8.9.,26,45,10,0,0,0,0,0,0,Easy,
2.....3.6.....3541..4..58.....4..68.8....2....3...1..2...3.4......98..15......26.,26,46,9,0,0,0,0,0,0,Easy,
.3........4.....322.......77..2..1.6....962....5.......526...4.9....1.6...35.7...,24,41,16,0,0,0,0,0,0,Easy,
...9...8.9.....71..2.......1....6.4..5.1......4....85.....95.....2.8..96.1...72.8,24,51,6,0,0,0,0,0,0,Easy,
5.2...1..4.9.57.26..6...9.....39..6...1.64.59............4.9..73..2..........1...,25,41,15,0,0,0,0,0,0,Easy,
36.....7...7....248......6......2..8.7.3.46....8..9.35.524.....943..7......6.....,26,47,8,0,0,0,0,0,0,Easy,
.5..4273........6.3...1..58.....75......5...2...4.3.7...58....7.8...6....26.3..1.,26,44,11,0,0,0,0,0,0,Easy,
..2......1.92.....5...6.8.27..5.....21.97..8...6...1..4.....5...91...7.487....91.,27,51,3,0,0,0,0,0,0,Easy,
..57.69.33..9...4...............4....3..57..67..26....46..........19....52....71.,24,53,4,0,0,0,0,0,0,Easy,
...7.6..3..2.4.68....3..2...6......5.7....361.8......4.17.34......58.......17....,25,39,17,0,0,0,0,0,0,Easy,
8......1.......876...........28.7.6..68..24..13.4....25..1.8..33...7..21.1..2....,27,37,17,0,0,0,0,0,0,Easy,
..97......1...5...5.7362....6..1.....7..2.3..4..9.3...2..5764.9.........6.....13.,26,42,13,0,0,0,0,0,0,Easy,
.1..85..4.2...6....6.93...1.8......39......6.....2......2.48.1...86..2.91....35..,26,42,13,0,0,0,0,0,0,Easy,
6..4.81..9....35.6....6..481.76......3.5...8.4..1....5..1....3..9.........4..9...,25,34,22,0,0,0,0,0,0,Easy,
.9.3....8.45....9...3.4562..6.58..3....2................8..7...75..6.....394.....,24,54,3,0,0,0,0,0,0,Easy,
.3...9..11.........786...3......849....4..1.7.9.1.6..8.23..7.....7.......64..3...,25,44,12,0,0,0,0,0,0,Easy,
.8......99...8.5..6..34.2..24....3............1...3.5.52..984.......49..8.....6.2,25,43,13,0,0,0,0,0,0,Easy,
...........9..62..67...4..8.3...8.76....79.8..4..6.5.33.........84....3....82..6.,25,37,19,0,0,0,0,0,0,Easy,
8.5.39...........7.3.4......9.......2.....3....3...92.7..24......1...5.934.5...1.,23,45,13,0,0,0,0,0,0,Easy,
.....58.....72.1.....389....8...2...5..9..37..7.5..........372182....93...9.1..4.,27,43,11,0,0,0,0,0,0,Easy,
...51.....6.........3....62..1.....49...6..8.2.4..13.......42.3........9325...1..,23,40,18,0,0,0,0,0,0,Easy,
...1.6.5.4....3.....5.....8.4..7.9......6...16....4..7.....5.8.51.3.......794....,23,36,22,0,0,0,0,0,0,Easy,
6.4..2....8.3.9....3..7..5.4.....8...598.362.7.......9.....8..2.........8..9.6..4,25,48,8,0,0,0,0,0,0,Easy,
.4...........6...7568....924.3.........23...9...89..7.8...57...9.2...3....4..2.8.,25,45,11,0,0,0,0,0,0,Easy,
....8..24.28...9..9157..8.......4.51.7.12..49...67..........4.6..7.6.5.2.........,27,48,6,0,0,0,0,0,0,Easy,
..7..4..6...5.9.4..8..21.9.8.........19..8..5.2.......49....8....52......7.9.....,23,37,21,0,0,0,0,0,0,Easy,
2......693...1.7........1..6....49129..65...4..37...5......2....4.....9..7..3....,24,41,16,0,0,0,0,0,0,Easy,
3.....4.1.21..6..94....8......8..3..1..5.....546.......93...1.8...1........92...4,24,45,12,0,0,0,0,0,0,Easy,
54.7...1.....1...7..6.4....8..9.25.....8..19......4.7.7...6..8........21..8...65.,25,34,22,0,0,0,0,0,0,Easy,
3...7......9...52..1...4......61..7..6.2.53.4...4..96.....5....52.76..31........9,26,46,9,0,0,0,0,0,0,Easy,
...8..659....29....8.6..1...4.5.......6....82....97........5.6..5.1.6.4..6..4.87.,26,50,5,0,0,0,0,0,0,Easy,
1.9......4.895.2.......1.793..1..7.2.4..375..9..54...8.8................5.3..28.7,28,49,4,0,0,0,0,0,0,Easy,
.7....6..83.62........45...2..398..5.5...............89.....8......63.5.4..5...92,24,40,17,0,0,0,0,0,0,Easy,
74...6..........1.....2...3....489..36.1.9..48..................2.9.14.6.....7238,24,48,9,0,0,0,0,0,0,Easy,
.4.......6.........5....4.6.617.82......1.....8..6..515.6.82.3..2..467..8....5.2.,27,47,7,0,0,0,0,0,0,Easy,
6..8.17...5...72.....6.351.........218....4.....5........4..1........8748.7....3.,24,42,15,0,0,0,0,0,0,Easy,
..5..6......1.............64......8..1..9.534.9........2368.49.1..92.6...4....85.,25,51,5,0,0,0,0,0,0,Easy,
.73.156.....43...1.....7........3.1...6...79.....2.5...9...1.27.3...94...2.64....,26,43,12,0,0,0,0,0,0,Easy,
1.5...7...89.5.....7.3.1..93...........8.6.3....1......6..2.35..5...78...9.6....1,25,41,15,0,0,0,0,0,0,Easy,
.............5.2.3...2..8.13......7.7...91..85....7639..6.3.....2.1......7.6.5.9.,25,42,14,0,0,0,0,0,0,Easy,
..81.2..921..7.......9.4.25..4..7.82.2..6..5.5.....7..6....5..........6..7...1...,25,43,13,0,0,0,0,0,0,Easy,
....3..........9.77...2..8.....5..24.........4....976..8.3...9..47...8.3.52..4..6,24,53,4,0,0,0,0,0,0,Easy,
69....5....7....24.3.4.....9...4....38....9....2..9..3.6.2..79..2....6......7..5.,24,46,11,0,0,0,0,0,0,Easy,
6...9..7.23.....5......52.352......1......92....17..........31...5......397..68..,24,36,21,0,0,0,0,0,0,Easy,
.....4.2..6....3.75..8..4....395..8.95..72.......6.........3..8......65.......73.,23,42,16,0,0,0,0,0,0,Easy,
..576.1.881.......2......6..7..1..4.4...8...3...5.3.16.8...6....52..........7..21,26,52,3,0,0,0,0,0,0,Easy,
54.1..789.8.2...5.......1.....98.317..87314......4....9....5...1.......3.5......1,27,45,9,0,0,0,0,0,0,Easy,
...8.....8...249.3.97....819........1....83....3.5....4.8..52...5.1....4.1...953.,27,39,15,0,0,0,0,0,0,Easy,
4....1..6.6..283..1..9.48.2..1.9.....7.....8.34.6....7........9..21...7........14,26,44,11,0,0,0,0,0,0,Easy,
....14.3....7...1..27.8.4...89.4......28.......1..7....9..61..46.....8....4...7.1,25,36,20,0,0,0,0,0,0,Easy,
.5..78..........7.8.64.1...5...8...1...91..5..42.5.7...61..........971...2......6,25,40,16,0,0,0,0,0,0,Easy,
9..4..5...38....9..1..5.37.871..94...4.8..9....2..713...........8...........24..5,26,54,1,0,0,0,0,0,0,Easy,
.......91.36..4...48.5....3..3..15..19.....6454...8...8...43..5..............9.47,26,38,17,0,0,0,0,0,0,Easy,
.6..59.2....46.17..5.3.2..61.......7.7....9..3........9.71......3.6....1.....53..,25,41,15,0,0,0,0,0,0,Easy,
..29.3..5.8...73.2....4....29...1...4.3.......18...9..15...9........2..9..4..8..1,25,37,19,0,0,0,0,0,0,Easy,
1..2.8......1..98....54....5........4.7.8..2...9..73..9..3.........5..7..1...945.,24,25,32,0,0,0,0,0,0,Easy,
.18..7...2..........51.83....9.3.17....9.......3..........69.5..2.8..93.6...7.81.,25,41,15,0,0,0,0,0,0,Easy,
8....1.....9.736.8..5..8.195..2......7..........96...1.3..8..5.6........28.....7.,24,39,18,0,0,0,0,0,0,Easy,
....1..9....2.3.163.........9..314.85...9....4..82...5...18.........6.5....4..623,26,53,2,0,0,0,0,0,0,Easy,
3.9....4......87..1...4...8..829..57......23...2.31..4.51.......7.......29....37.,26,51,4,0,0,0,0,0,0,Easy,
.....3.261.8.9.......51.........27...71.5..8..5...72......6.97.8.7...3..5.......8,25,36,20,0,0,0,0,0,0,Easy,
.6...59.........3.4.53.1...3.41.7...7.....1.419.6............75..7.36..2........3,25,39,17,0,0,0,0,0,0,Easy,
5...8.....9....1...16...5..4.7..........1..6........948.54.3..79..7..3.....19....,23,47,11,0,0,0,0,0,0,Easy,
...9.6458...........28.3.9...96.2..53....9..4.81...........1..9.2.....3.......1.6,24,48,9,0,0,0,0,0,0,Easy,
27...6....8.3.4.......2..7...2..345...5..1.38..1..2..61..........3..76........5..,24,52,5,0,0,0,0,0,0,Easy,
7....9..4.......7.3.6.4.5.2........82...6..3.......29...2..84.3.7..5...9.652.....,25,50,6,0,0,0,0,0,0,Easy,
.735.9......31........4....3..........5.7......1..3.24.3.2..9..41....26...296.4.5,26,49,6,0,0,0,0,0,0,Easy,
5...3.......8.4......2...8....4.2.5.4...5...7..2.1.....13....7..891.........7..93,23,41,17,0,0,0,0,0,0,Easy,
6.....3.1.9..1...883.6...5.....71....7.9.5...9.62......62..75...........5...98...,25,41,15,0,0,0,0,0,0,Easy,
3..........98..56.....5719.....9.8.6...7.1....9.26..1.........7..19.2...8....3.5.,25,49,7,0,0,0,0,0,0,Easy,
...8...92.4....6.......2....3..9.4.7...56.........8.2..2..463.....7...4...89..7.6,24,41,16,0,0,0,0,0,0,Easy,
2.5..6....96...2.1...........27..5..3.1.4....7...196...1.3.5...6..9........26..7.,25,26,30,0,0,0,0,0,0,Easy,
..3...9....8....6.....41.....5.3.6..34...25.88....6......9..8.2....1....19..6...3,24,31,26,0,0,0,0,0,0,Easy,
...3689...9...5..8..7...............7.953....52..7.68..5.2.7.3..3.....9.1.....26.,26,31,24,0,0,0,0,0,0,Easy,
..4........124..83.2.....7.........7472........8...92.15..2......9.85.1..8.4.3..2,26,45,10,0,0,0,0,0,0,Easy,
.82.5....39...7..865..8.3...2.....................15.7......7..5...23.8...7.9812.,25,33,23,0,0,0,0,0,0,Easy,
.4...9.6..6......8..73.6..15..1.73....3.....5...5...16.9.......1...5..84.7.9....3,26,42,13,0,0,0,0,0,0,Easy,
...4..........7..317.5.........3....5.86....4.47.8...6..5...9.18......6..3..187..,24,44,13,0,0,0,0,0,0,Easy,
.2.31.7...9..6..3...48.9.2.68.........7...4.....73.86.3.......6418........2.8....,26,43,12,0,0,0,0,0,0,Easy,
..4......638.......7..4.28.1...7483.427....9..6.1.....9...1............271..2..49,27,51,3,0,0,0,0,0,0,Easy,
..4.1........8...969.2.34.7.68......2136..................4.3.....9..1.48.7......,23,49,9,0,0,0,0,0,0,Easy,
.6......1.327.16.....34..8...3.8.1.71.....32........45.14...5.86.....4.2.......7.,27,40,14,0,0,0,0,0,0,Easy,
.9.2..1.......1.....59.8..7...7..5..9.15..2.32.3.6.7....8...........3.8..6....9..,24,44,13,0,0,0,0,0,0,Easy,
98...1.46...368........4..584...9.3...5...8..2..4...9..5..2....6...9......2..3...,25,35,21,0,0,0,0,0,0,Easy,
.2...9...8.7..3...95.784..3........7...9.546.....4......5..8..44...2.....72.5...8,26,43,12,0,0,0,0,0,0,Easy,
..7....236.2..95.743......6.....74..2....3......65.13......4...5..12.7..7...9....,26,33,22,0,0,0,0,0,0,Easy,
4.........1..7...22.6..9.....7.3....19.6.24...6.74.5..7......4........51......963,25,44,12,0,0,0,0,0,0,Easy,
57....6....31...57.2.3...8.6...42.7..8....2..4...65.........3....4.7...2....1....,24,43,14,0,0,0,0,0,0,Easy,
2..3..71.....169.3.......4......4..9.469.......8.6.......2....4...4..8..31..9...2,24,41,16,0,0,0,0,0,0,Easy,
....3.4.......79.172.4.......6......931.7.......2..3..4...9..1...9.6.7.8..8....2.,24,34,23,0,0,0,0,0,0,Easy,
.3....6.5...1.5..7...74.......2.4......367.......8...6.73...8.45.1.7...28....25..,26,50,5,0,0,0,0,0,0,Easy,
.64.........39.64...2.5..37..9......876..2......439......8..2......4.9......75...,24,42,15,0,0,0,0,0,0,Easy,
.....2395.97.....1.........1...7..6...6........3.......4..236...1..4..599.....24.,23,40,18,0,0,0,0,0,0,Easy,
.42..8.5..359...1....2..84.3.8........9....31.57...4....438....1....7.9.....1....,26,40,15,0,0,0,0,0,0,Easy,
....9...7.........567...91..1...6..2..8.714...498..5.....7...5.......6.....684...,24,36,21,0,0,0,0,0,0,Easy,
9.........3..84..5.127......5.1..83.4....29...8..3.4..7......2.......173.....1...,24,34,23,0,0,0,0,0,0,Easy,
....9...3.....1.4.....8.92..2....6.........9..89...714..2.68.7..1...98..64...3...,25,45,11,0,0,0,0,0,0,Easy,
.46.1...38....57.1....4.6....4.......9.6..8...61.........3.4..9..38..1...5......6,24,28,29,0,0,0,0,0,0,Easy,
.......614..7..89.....4.....97..4..8...35.9.6...6.7...1......39...1......58.3.1..,25,52,4,0,0,0,0,0,0,Easy,
5.3.....9.489....5..6...37.4...3..56....2....3..76948.68.........7.........5.79..,27,36,18,0,0,0,0,0,0,Easy,
.3.....8...1..8.5.48..3..6.21.8....5..9.6....3........542.91......3.........25.14,26,44,11,0,0,0,0,0,0,Easy,
...4..3...5.3.....68............9.2..4..2..59...84...69.8...47.52....6......53.8.,25,31,25,0,0,0,0,0,0,Easy,
6.8.....3.5....1...729...8...36..85...5.2....2.95...36.2.8.....8...1..7..3.......,26,46,9,0,0,0,0,0,0,Easy,
.6.13..9.......3..9....4......249.........1....5.8....4....5.....8...2.5.2.3..61.,22,39,20,0,0,0,0,0,0,Easy,
...........37..9.48.5...3.1....7.41.6..89..7....4....5........7..89...3.....135..,24,45,12,0,0,0,0,0,0,Easy,
....42...1...3.4...368.1...9.4.........658...5.8....3.8..1...9...9.....6...4....2,24,52,5,0,0,0,0,0,0,Easy,
....6.97.1...4.......823.....7....16.8.......93.1....8...71..822......6......6...,23,47,11,0,0,0,0,0,0,Easy,
..7.....9.9.13...7..2.9.84......51......4...8.5.7...2....3...7.3284.......5......,24,35,22,0,0,0,0,0,0,Easy,
6...9..2..3....68...7...5.3.56.....89....3...8.1....7..29..17.5........2....2..31,26,52,3,0,0,0,0,0,0,Easy,
.76.......8...719.....5...21.....68......13....85....7.17.....5269...8.....7...3.,25,45,11,0,0,0,0,0,0,Easy,
582.6....9.72......6.......2569....8...3.7...1...5.....1.....578.5.71.........8.2,26,50,5,0,0,0,0,0,0,Easy,
.4..85...8.697..5.....6.34........7.........36..529........3.9.......4.679...25..,25,54,2,0,0,0,0,0,0,Easy,
..5..69...6.......98.........931...5.....82.645...93.1.........23..4.5....1.3.8..,25,48,8,0,0,0,0,0,0,Easy,
.5.1.....7.4.9.1....1...8.6........5.692....8....79.2.9....4.6..........4......71,23,45,13,0,0,0,0,0,0,Easy,
.579....19..65.............5...48..9.......2.42..9..7..6.58.214....2.......4.7..6,26,52,3,0,0,0,0,0,0,Easy,
513..8........148..4....3..4.....6..8571..23.............43.1...26.....7...78..6.,26,40,15,0,0,0,0,0,0,Easy,
7...5....5.29.81.........68....9..8.....2...3..96...2.9....235...1.7...6..58.1...,26,45,10,0,0,0,0,0,0,Easy,
43.6..8.9...2.8.......39..6........5..9...3283.....6......1.9..9...46.51..18.....,26,35,20,0,0,0,0,0,0,Easy,
.643...17.7....6.2..12...83...8.92.............8.3.....4.67..3.9......7.....18...,25,42,14,0,0,0,0,0,0,Easy,
.....3781.76....9.9.3...2....84.....46..7..1........2.1....73.8634.....9.........,25,40,16,0,0,0,0,0,0,Easy,
.1..7...5..4.5..9.32..9..............8..13..79..5...2....1..........73.......278.,22,30,29,0,0,0,0,0,0,Easy,
.....781..3829..6..6..41.2.4.....936......4....96..18..47......68..........1.....,26,49,6,0,0,0,0,0,0,Easy,
6.9.2..4.......2.757.4.9.6.....8.52.2...6....1.4...9...9.2..8............65......,24,45,12,0,0,0,0,0,0,Easy,
8..9...4..9.6578......3.9.6....7.52...........5.4....726.....53.....9....75..6...,25,39,17,0,0,0,0,0,0,Easy,
.......7....6......37.9.5...26....453...2...9...5..3.1..2..7.366.3..1...97..5.2..,27,47,7,0,0,0,0,0,0,Easy,
..35.7...5...9.81.9..38....1.98.....425...7.97...2....2.......5.......3.......941,26,48,7,0,0,0,0,0,0,Easy,
..6.9.5..3.1..4........2....45.1.9.....3.9..7..........1725.6........3.52..6.....,23,34,24,0,0,0,0,0,0,Easy,
3..8...49...35..1.42..96.85..6....9........5.......6.4..8.......3...9..195..3..2.,26,43,12,0,0,0,0,0,0,Easy,
.......4..4...8139.....6....15.6....8.63.9.....915.........758..58....1.......7.6,25,40,16,0,0,0,0,0,0,Easy,
.3.2..785...4..1...1..8.2......5.........3.71....94...87.....2..25..8..9..392..5.,27,48,6,0,0,0,0,0,0,Easy,
5.62....8....6..5..17....3......5.6......7.9..4.8.....4....3........947.9.27.....,23,40,18,0,0,0,0,0,0,Easy,
....2......1..3...3.94.....4.75...16.1..6...52...7.4....5..2......35.6.47...963..,27,41,13,0,0,0,0,0,0,Easy,
...75..2.........4.7...9.5.9..2.7.61.4...18......8..7.8.16.52......9.5.....8...46,27,45,9,0,0,0,0,0,0,Easy,
6...4..7.....7.3.1..89..4......876........9.........5.45....8....9..6....7..51.6.,23,42,16,0,0,0,0,0,0,Easy,
.......8...5......64.729.3..5....96.7...........25.3...34.....5...8.........96..7,22,48,11,0,0,0,0,0,0,Easy,
